video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
733,,,,"Based on the video, what were the prevailing weather and light conditions when the accident occurred?",Weather & Light,It was daytime with clear skies and a dry road surface.,"It was overcast with intermittent rain, making the road wet.","The incident happened at dusk, with low sun causing significant glare for the drivers.","It was nighttime, but the highway was well-illuminated by streetlights.",Which statement best describes the traffic environment immediately before the collision?,Traffic Environment,"The red truck was traveling at a steady speed in the right lane, while the white car was stationary on the road shoulder.","Both the truck and the car were part of a heavy, slow-moving traffic jam.","The white car was driving slowly in the right lane, and the red truck was attempting to overtake it from the left.","The highway was nearly empty, with only the white car and the red truck present on the road.",What is the configuration of the road shown in the video?,Road Configuration,A multi-lane highway with clear lane markings and a paved shoulder on the right.,A two-lane country road with no shoulder for stopping.,A city street with multiple intersections and pedestrian crossings.,"A highway section undergoing construction, marked by cones and barriers.",How can the type of collision be best described?,Accident Type,"A collision caused by the white car making an illegal U-turn on the highway, blocking the travel lane.",A head-on collision that occurred in the middle of the highway.,A classic rear-end collision where the truck failed to stop for a slowing vehicle ahead.,A sideswipe collision that happened while both vehicles were traveling in parallel lanes.,What was the primary and most direct cause of this crash?,Accident Cause,The white car made an illegal U-turn on the highway without checking for oncoming traffic.,The red truck was speeding and did not maintain a safe following distance.,A sudden brake failure on the red truck prevented it from stopping in time.,The truck driver was distracted and did not notice the white car signaling to merge.,Which of the following actions by the white car's driver would have most effectively prevented this accident?,Accident Prevention,Waiting for a sufficiently large and safe gap in traffic before pulling out from the shoulder.,Accelerating much faster to match the highway speed before leaving the shoulder.,Signaling their intention to merge for a longer period of time.,Merging very slowly to give the truck more time to react.
744,,,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and good visibility.,Daytime with heavy rain and wet road surfaces.,Late evening with poor visibility due to darkness.,A sunny day with intense glare affecting the driver's vision.,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,A signalized intersection on a multi-lane urban arterial road.,An uncontrolled T-junction in a quiet residential neighborhood.,A high-speed expressway with an overpass.,A winding rural road with no traffic control devices.,What is the configuration of the road where the accident occurred?,Road Configuration,"A two-way, multi-lane road with a green median strip separating the directions of travel.","A narrow, single-lane, one-way street.",An undivided two-lane road with a shared center turning lane.,A cobblestone road with tram tracks in the middle.,What type of collision occurred between the ego-vehicle and the white SUV?,Accident Type,A side-impact (T-bone) collision at an intersection.,A rear-end collision where the ego-vehicle struck the back of the SUV.,A head-on collision in the middle of the road.,A sideswipe collision while both vehicles were traveling in the same direction.,What was the primary and direct cause of this accident?,Accident Cause,The white SUV failed to yield the right-of-way to the oncoming ego-vehicle while making a turn.,The ego-vehicle ran a red light at the intersection.,The ego-vehicle was traveling at an excessive speed for the conditions.,A sudden mechanical failure in the white SUV's braking system.,How could this accident have been most effectively prevented by the driver of the white SUV?,Accident Prevention,By waiting at the intersection until there was a safe gap in oncoming traffic before starting the turn.,By turning more quickly to clear the intersection before the ego-vehicle arrived.,By honking the horn to warn the ego-vehicle of the intention to turn.,By turning on the hazard lights while making the turn.
749,,,,"Based on the visual evidence, what were the weather and lighting conditions at the time of the collision?",Weather & Light,Daytime with clear skies and good visibility.,"Dusk with overcast skies, causing reduced visibility for drivers.","Daytime, but it was raining, making the road surface slick and wet.","Nighttime, with the scene primarily illuminated by artificial streetlights.",Which of the following best describes the environment where the accident occurred?,Traffic Environment,An urban intersection with multi-story apartment buildings and businesses nearby.,A rural highway with open fields and very little surrounding infrastructure.,A controlled-access expressway with high-speed traffic and no intersections.,Inside a commercial parking lot with designated parking spaces and slow-moving traffic.,"What is the road configuration at the collision point, and what traffic control device governed the dark sedan's movement?",Road Configuration,A T-intersection where the dark sedan was entering from a side road and was governed by a yield sign.,A four-way stop intersection where all approaching vehicles were required to come to a complete stop.,A signalized intersection where the dark sedan had a green traffic light to proceed.,A roundabout where the dark sedan was supposed to yield to traffic already circulating.,How would you classify the type of impact that occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front of the dashcam car hit the side of the dark sedan.","A rear-end collision, where the dashcam vehicle struck the back of the dark sedan.","A head-on collision, where the front ends of both vehicles collided.","A sideswipe collision, where the vehicles scraped along each other's sides while moving in the same direction.",What was the primary and most direct cause of this accident?,Accident Cause,The turning vehicle failed to yield the right-of-way to straight-going traffic.,The dashcam vehicle was traveling at an excessive speed for the conditions.,"A sudden mechanical failure, such as brake failure, in the dark sedan.","The view of the dark sedan's driver was obstructed by a parked truck, preventing them from seeing oncoming traffic.",Which action by the driver of the dark sedan would have been the most effective measure to prevent this collision?,Accident Prevention,"Stopping completely at the edge of the main road, looking both ways, and yielding to oncoming traffic before proceeding.",Accelerating quickly to try and cross the intersection before the dashcam car arrived.,Flashing their headlights to signal their intention to enter the intersection.,Sounding the horn continuously to warn the dashcam vehicle to slow down.
753,,,,"Based on the visual evidence in the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,"Dusk, with low light conditions requiring headlights.","Daytime, but overcast with light rain and wet road surfaces.","Nighttime, with illumination provided by streetlights.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban intersection controlled by traffic signals.,A rural highway with high-speed traffic.,A congested downtown area with heavy pedestrian traffic.,A quiet suburban residential street with a low speed limit.,What is the configuration of the intersection as the ego-vehicle approaches it?,Road Configuration,A signalized multi-lane crossroads with clear lane markings.,A T-junction where the ego-vehicle's road ends.,A roundabout requiring vehicles to yield before entering.,An uncontrolled intersection with only stop signs for cross-traffic.,What type of collision occurs between the ego-vehicle and the white car?,Accident Type,"A T-bone collision, where the front of the ego-vehicle impacts the side of the white car.","A rear-end collision, where the ego-vehicle strikes the back of the white car.","A sideswipe collision, where both vehicles make contact while traveling in the same direction.","A head-on collision, where the front of both vehicles impact each other.",What was the primary and direct cause of this accident?,Accident Cause,The white car failed to yield the right-of-way while turning or crossing the intersection.,The ego-vehicle was traveling significantly above the speed limit.,The traffic light for the ego-vehicle turned red just before it entered the intersection.,The view of both drivers was obstructed by the large bus passing through the intersection.,What is the most critical action that would have prevented this collision?,Accident Prevention,The driver of the white car should have waited for all straight-through traffic to pass before proceeding.,The ego-vehicle should have anticipated the white car's maneuver and stopped sooner.,The ego-vehicle should have been driving in the rightmost lane instead of the middle lane.,The city should have installed a dedicated left-turn arrow signal at this intersection.
770,,,,"Based on the visual evidence, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"Daytime, with clear skies and good visibility.","Dusk, with low light requiring streetlights.","Daytime, but during a heavy downpour with wet roads.","Nighttime, with visibility limited by fog.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane urban expressway or highway with moderate, fast-moving traffic.",A congested city street with frequent stops and pedestrian crossings.,A two-lane rural road with very few other vehicles.,A construction zone with reduced speed limits and lane closures.,What is the configuration of the road at the scene of the crash?,Road Configuration,"A straight, multi-lane highway with a slight right-hand curve and a barrier on the right side.",A T-intersection controlled by traffic signals.,"A sharp, blind left-hand turn on a mountain road.",An entrance ramp merging into heavy highway traffic.,What type of collision occurs between the black car and the ego-vehicle?,Accident Type,"A collision caused by a vehicle making a multi-lane turn without checking rear traffic, crossing into the ego vehicle's lane.",A rear-end collision where the ego-vehicle strikes the black car from behind.,A head-on collision where the vehicles were traveling in opposite directions.,A single-vehicle rollover accident involving only the black car.,What is the most direct and evident cause that initiated the black car's loss of control?,Accident Cause,"The black car made a dangerous multi-lane turn without checking rear traffic, cutting across the ego vehicle's path.","The black car hit a patch of oil on the road, causing it to skid.",The black car experienced a sudden mechanical failure (tire blowout).,"The ego-vehicle cut off the black car, forcing it to swerve violently.","For the driver of the black car, which of these preventative measures would have been most effective in avoiding the initiating event of this crash?",Accident Prevention,"Checking mirrors and rear traffic before making the turn, and turning one lane at a time.",Leaving more following distance to the car in front of it.,"Performing regular vehicle maintenance, with a specific focus on tire condition.",Checking blind spots more carefully before attempting to overtake another vehicle.
775,,,,"Based on the video, what are the weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime, with clear skies and dry road conditions.","Dusk, with overcast skies and wet roads from previous rain.","Daytime, but during heavy rain, causing poor visibility.","Nighttime, with illumination from streetlights on a clear night.",Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"An urban area with multi-lane roads, commercial signage, and pedestrian activity.",A rural highway with high-speed traffic and no pedestrian facilities.,A residential neighborhood with narrow streets and low traffic volume.,A construction zone with temporary traffic signals and lane closures.,What is the configuration of the road at the location of the collision?,Road Configuration,A signalized intersection with a marked crosswalk for pedestrians and pedestrians.,A roundabout with yield signs controlling entry.,A mid-block crosswalk controlled by a pedestrian-activated flashing beacon.,A T-junction without any traffic signals or marked crosswalks.,What type of accident is depicted in the video?,Accident Type,A right-turning van collides with a pedestrian who is crossing the road in a marked crosswalk.,A rear-end collision where the van was struck from behind by the pedestrian.,A sideswipe collision between the van and a vehicle in the adjacent lane.,A head-on collision where the pedestrian swerved into the van's path unexpectedly.,What was the primary cause of this collision?,Accident Cause,The van driver failed to yield the right-of-way to the pedestrian while making a right turn at the crosswalk.,"The pedestrian ran a red light, entering the intersection illegally.",A sudden mechanical failure of the van's braking system prevented it from stopping in time.,"The traffic signal at the intersection malfunctioned, causing confusion for all parties.",How could the van driver have most effectively prevented this accident?,Accident Prevention,"By stopping before the crosswalk and yielding to the pedestrian, ensuring the path was clear before completing the turn.",By accelerating through the turn more quickly to clear the intersection before the pedestrian arrived.,By honking the horn continuously to warn the pedestrian of their presence.,By swerving sharply into the adjacent lane to create more space.
792,,,,"Based on the visual evidence in the video, which statement best describes the environmental conditions at the time of the accident?",Weather & Light,The accident occurred during daytime with clear visibility and on a dry road surface.,"The crash happened at dusk, and poor lighting made the motorcycle difficult to see.",Heavy rain and wet roads significantly reduced tire grip and visibility for both drivers.,"Bright sun glare was directly in the SUV driver's line of sight, obstructing their view of oncoming traffic.",How would you characterize the traffic environment where the collision took place?,Traffic Environment,"A busy, multi-lane urban intersection with other moving and parked vehicles present.","A quiet, residential street with minimal traffic and a low speed limit.",A high-speed highway off-ramp where vehicles are merging and changing lanes.,"An open rural road with no other vehicles nearby, suggesting an isolated incident.","Observing the road markings and intersection layout, what is the correct description of the scene?",Road Configuration,"A standard intersection with dashed lane dividers, where left-turning traffic must yield to straight-through traffic.",A four-way stop intersection where the vehicle that arrives first has the right-of-way.,A signalized intersection where the white SUV likely had a protected green arrow for its left turn.,"A roundabout where traffic flows in a single direction, and the motorcycle failed to yield upon entry.",What is the most accurate classification for this type of collision?,Accident Type,"An angle (or T-bone) collision, caused by one vehicle turning across the path of another.","A rear-end collision, where the motorcycle failed to stop in time and hit the back of the SUV.","A head-on collision, where the two vehicles struck each other front-to-front.","A sideswipe collision, where the vehicles made contact while traveling in the same direction.",What was the primary critical error that led to this crash?,Accident Cause,The driver of the white SUV failed to yield the right-of-way to the oncoming motorcycle before making a left turn.,"The motorcyclist was traveling at an excessively high speed for the conditions, making the crash unavoidable.",The motorcyclist performed an abrupt and illegal lane change directly in front of the turning SUV.,"A vehicle in the adjacent lane blocked the SUV driver's view, creating an unavoidable blind spot.",Which action by a driver would have been the most direct and effective measure to prevent this accident?,Accident Prevention,"The SUV driver should have waited for all oncoming traffic, including the motorcycle, to pass before initiating the turn.",The motorcyclist should have anticipated the turn and swerved into the far right lane to avoid the SUV.,The motorcyclist should have been using high-beam headlights to increase their visibility to other drivers.,The SUV driver should have completed the turn more quickly to clear the intersection before the motorcycle arrived.
804,,,,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with a dry road surface.,Dusk with wet road surfaces from recent rain.,Overcast daylight with strong crosswinds affecting visibility.,Bright daylight with significant sun glare obscuring the driver's vision.,What best describes the traffic environment where the incident was initiated?,Traffic Environment,An urban or suburban area with commercial and residential buildings visible.,A high-speed rural highway with no intersections.,A dense downtown city center with heavy pedestrian traffic.,A controlled-access expressway with dedicated on-ramps and off-ramps.,What is the specific road configuration at the point where the conflict began?,Road Configuration,A T-junction where a side road merges with a multi-lane main road.,A four-way intersection controlled by traffic lights.,A roundabout connecting multiple roads.,A railway crossing intersecting the main road.,What is the primary type of accident that occurred to the black SUV?,Accident Type,A single-vehicle rollover accident triggered by an evasive maneuver.,A T-bone collision with the sedan at the intersection.,A head-on collision with a vehicle from the opposite direction.,A rear-end collision caused by sudden braking of the vehicle in front.,What was the primary and most direct cause of this accident sequence?,Accident Cause,The sedan entering the main road failed to yield the right-of-way to the SUV.,The SUV driver lost control due to a sudden tire blowout.,The SUV was traveling at an unsafe speed for the wet road conditions.,"The camera car's driver distracted the SUV driver, causing the swerve.",Which action by one of the drivers could have most effectively prevented this entire incident from happening?,Accident Prevention,The sedan driver should have waited for the main road to be clear before entering.,The SUV driver should have been driving in the rightmost lane.,The SUV driver should have honked the horn earlier to warn the sedan.,Both drivers should have stopped and waited for the other to proceed.
805,,,,"Based on the video, what were the weather and lighting conditions when the crash occurred?",Weather & Light,Bright daylight with clear skies and a dry road.,Overcast conditions with wet road surfaces from recent rain.,"Dawn, with low sun glare potentially impairing drivers' visibility.",Nighttime on a poorly lit section of the road.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban or suburban main road with buildings and roadside vegetation.,A rural highway surrounded by open fields.,A dense residential area with single-family homes.,A major downtown intersection controlled by traffic signals.,What is the configuration of the road where the accident took place?,Road Configuration,"A multi-lane, two-way straight road with a painted centerline.",A sharp curve on a narrow road that obstructed the drivers' view.,A major intersection with traffic lights and a dedicated turning lane.,A one-way street with all traffic flowing in the same direction.,How can the type of collision between the silver sedan and the dark SUV be best described?,Accident Type,A rear-end collision where the ego vehicle was struck from behind.,A head-on collision.,A T-bone (side-impact) collision.,A sideswipe collision.,What was the primary cause of this accident?,Accident Cause,The vehicle behind failed to maintain a safe following distance and rear-ended the ego vehicle.,"The dark SUV made an improper and unsafe left turn, failing to yield to oncoming traffic.",A sudden mechanical failure in the dark SUV caused it to lose control.,The driver of the silver sedan was inattentive and failed to brake.,Which of the following actions by the SUV driver would have most effectively prevented this collision?,Accident Prevention,The vehicle behind should have maintained a safe following distance and appropriate speed.,Accelerating faster through the turn to minimize the time spent in the opposing lane.,Honking the horn continuously to warn the oncoming car.,The silver sedan driver should have yielded the right-of-way.
811,,,,"Based on the video, what were the prevailing weather and road surface conditions?",Weather & Light,Overcast daytime conditions with a wet/damp road surface.,"Bright sunlight causing glare, with wet road surfaces.",Dusk with poor visibility and damp roads.,"Nighttime during a heavy downpour, causing slippery roads.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban multi-lane road with parked cars on the left and a guardrail to the right.,A high-speed highway with multiple lanes separated by a concrete barrier.,A narrow rural road with no lane markings or shoulder.,A residential street with frequent intersections and pedestrian crossings.,What is the configuration of the road on which the motorcycle is traveling?,Road Configuration,A straight and level multi-lane road.,"A sharp curve to the left, limiting forward visibility.",A steep downhill section leading to an intersection.,A roundabout with multiple entry and exit points.,What type of collision occurs in the video?,Accident Type,"A rear-end collision, where the motorcycle strikes the back of the car.","A sideswipe collision, where the motorcycle scrapes the side of the car.","A head-on collision, where the two vehicles collide front-to-front.",A T-bone collision at an intersection.,What was the primary contributing factor from the motorcyclist that led to this crash?,Accident Cause,"The red car performed an illegal lane change without signaling, cutting into the motorcycle's path.","The motorcycle was following the car ahead too closely, leaving insufficient stopping distance.","The motorcycle experienced a sudden mechanical failure, such as brake failure.","The red car's brake lights were not working, providing no warning of deceleration.",Which action by the motorcyclist would have been the most effective measure to prevent this accident?,Accident Prevention,"The red car driver should have checked mirrors and blind spots before changing lanes, and used a turn signal.",Honking the horn to alert the car driver of their presence.,Immediately swerving into the adjacent lane to the right.,Accelerating quickly to overtake the red car before it could brake.
815,,,,"Based on the video, what are the weather and light conditions at the time of the accident?",,Daytime with clear skies and good visibility.,Dusk with wet roads from recent rain.,Nighttime with streetlights illuminating the intersection.,Overcast day with poor visibility due to fog.,Which of the following best describes the traffic environment where the collision occurs?,,A busy urban intersection with high-rise buildings and pedestrians.,A quiet suburban residential street with low traffic volume.,A rural highway with no traffic signals or pedestrians.,A construction zone with temporary traffic control and road cones.,What is the configuration of the road where the incident takes place?,,A signalized multi-lane intersection with crosswalks and dedicated turning lanes.,A roundabout or traffic circle controlling traffic flow.,A two-lane road with a stop sign but no traffic lights.,A T-junction where one road ends and meets another.,What is the primary type of collision that initiates the accident sequence?,,A T-bone (side-impact) collision in the middle of the intersection.,A rear-end collision involving the red car and the dark car.,A head-on collision between the red car and the blue MPV.,A sideswipe collision as two cars were merging into the same lane.,What is the direct and primary cause of this multi-vehicle accident?,,"The ego vehicle (dashcam car) was traveling at an excessive speed, contributing to the severity of the collision.",The dark car failed to yield the right-of-way while making a left turn.,"The blue MPV was stopped improperly in a traffic lane, causing an obstruction.","Both the red car and the dark car entered the intersection on a yellow light, misjudging the timing.",Which action by one of the drivers could have most directly prevented this accident from occurring?,,The driver of the red car should have stopped for the red traffic light.,The driver of the dark car should have checked for cross-traffic more carefully before entering the intersection on a green light.,The driver of the blue MPV should have positioned their vehicle further back from the intersection.,All drivers should have reduced their speed due to potential sun glare.
816,,,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Nighttime with clear skies and artificial street lighting.,"Daytime, but with heavy rain and wet road surfaces.","Overcast conditions at dusk, leading to poor visibility.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,Moderate traffic on a multi-lane highway with vehicles traveling at high speed.,"Heavy, stop-and-go traffic on a congested urban road.",Very light traffic on a two-lane rural road with a low speed limit.,A traffic jam caused by construction work ahead.,What is the configuration of the road where the incident takes place?,Road Configuration,"A straight, multi-lane highway with a central median barrier.",A sharp curve on a mountain road without guardrails.,A busy city intersection with traffic signals.,A two-way street with faded lane markings and numerous potholes.,What type of accident occurred involving the white car?,Accident Type,A rear-end collision where the ego vehicle failed to maintain proper following distance.,A direct rear-end collision where the car struck the back of the truck.,A sideswipe collision where the truck and car made contact while changing lanes.,A single-vehicle crash caused by a mechanical failure like a tire blowout.,What was the primary triggering action that led to the white car's crash?,Accident Cause,"The ego vehicle failed to maintain a proper following distance from the vehicle ahead, resulting in a rear-end collision.",The driver of the white car misjudged the distance and attempted a dangerous overtake.,"The vehicle with the camera braked suddenly, forcing the white car to swerve.","The white car experienced a sudden tire blowout, causing the driver to lose control.",Which action by the truck driver would have been most effective in preventing this accident?,Accident Prevention,Maintaining a proper following distance from the vehicle ahead at all times.,Increasing speed to match that of the car in the left lane.,Staying in the far-right lane for the entire duration of the trip.,Honking the horn continuously before making the lane change maneuver.
818,,,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,Overcast skies with wet roads from recent rain.,"Dusk, with fading light requiring vehicle headlights.","Bright daylight, but with strong sun glare obscuring the drivers' view.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban arterial road with a landscaped median separating opposing traffic.,A rural two-lane country road.,A busy downtown intersection controlled by traffic signals.,A high-speed controlled-access highway.,What type of road marking is visible on the road that governed the black SUV's illegal maneuver?,Road Configuration,"Double solid lines, explicitly prohibiting crossing or U-turns.","A single broken line, indicating that turning was permitted with caution.",A designated U-turn opening in the median was just ahead.,No visible lane markings due to poor road maintenance.,How is the collision between the motorcycle and the black SUV best classified?,Accident Type,"A side-impact (or T-bone) collision, where the front of the motorcycle struck the side of the SUV.","A rear-end collision, where the motorcycle hit the back of the SUV.","A head-on collision, where the vehicles were traveling towards each other.","A sideswipe collision, where the vehicles scraped alongside each other.",What was the primary and most direct cause of this accident?,Accident Cause,"An oncoming vehicle suddenly changed lanes into the motorcycle's path, striking it.",The motorcycle was traveling at an excessive speed relative to the slowing traffic.,The motorcycle was attempting to illegally overtake the SUV on the left.,A sudden mechanical failure in the SUV's steering system.,"From the perspective of the black SUV driver, what was the most critical action they should have taken to prevent this collision?",Accident Prevention,The oncoming vehicle should have stayed in its own lane and not made the sudden lane change.,Activating the hazard lights before starting the turn.,Completing the U-turn at a much higher speed to clear the lane faster.,Checking mirrors and blind spots before changing lanes.
835,,,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,"Nighttime with streetlights on, but visibility was poor.","Daytime, but it was raining heavily, causing a wet and slippery road surface.","Dusk, with the sun setting, causing significant glare for the drivers.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"On a multi-lane urban road near an intersection, with moderate traffic.",On a winding rural road with no other vehicles nearby.,In a congested stop-and-go traffic jam on a highway.,In a residential neighborhood with a low-speed limit.,What is the configuration of the road where the motorcycle was traveling?,Road Configuration,"A multi-lane, two-way urban arterial road with clear lane markings approaching an intersection.","A single-lane, one-way street with no intersections.",A two-lane rural highway with a grassy median.,A roundabout connecting four different streets.,How would you classify the type of collision shown in the video?,Accident Type,"An angle collision, where a left-turning vehicle collided with an oncoming, straight-through vehicle.","A rear-end collision, where the motorcycle hit the back of the SUV.","A head-on collision, where both vehicles were traveling directly towards each other in the same lane.","A sideswipe collision, where the two vehicles made contact while traveling in the same direction.","According to typical traffic laws and the events shown, what was the primary cause of this accident?",Accident Cause,The SUV failed to yield the right-of-way to the oncoming motorcycle while making a left turn.,The motorcycle was speeding so excessively that the collision was solely its fault.,"The traffic signal at the intersection malfunctioned, giving both vehicles a green light.",The motorcycle attempted to illegally overtake another vehicle just before the collision.,"From the perspective of the SUV driver, what was the most critical action that could have prevented this collision?",Accident Prevention,Ensuring the path was clear of all oncoming traffic before initiating the left turn.,Accelerating faster through the turn to clear the intersection more quickly.,Honking the horn to warn the oncoming motorcycle of the intention to turn.,Checking the rearview mirror before starting the turn.
838,,,,"Based on the visual information in the video, what were the prevailing weather and road conditions?",Weather & Light,Daytime with an overcast sky and a dry road.,"Dusk with clear skies, requiring headlights to be on.","Daytime during a light rain, resulting in wet and reflective road surfaces.","Early morning with dense fog, significantly reducing visibility.",Which of the following best describes the environment where the incident occurred?,Traffic Environment,A signalized intersection on a multi-lane urban arterial road.,A high-speed rural highway with no traffic control signals.,A congested downtown street with heavy pedestrian traffic crossing the road.,An on-ramp merging onto a major freeway.,What is the configuration of the road on which the dashcam vehicle was initially traveling?,Road Configuration,"A multi-lane, two-way road divided by a central green median.","A two-lane, undivided road with only a painted yellow line in the center.",A one-way street with multiple lanes for traffic going in the same direction.,A road that narrows from two lanes to one just before the intersection.,What is the final and most severe collision that the dashcam vehicle is involved in?,Accident Type,A head-on collision with a vehicle in the opposing lane.,A T-bone collision with the black car at the intersection.,A rear-end collision with the black car that pulled out.,A single-vehicle accident involving hitting the central median.,What was the critical traffic violation committed by the dashcam vehicle that served as the root cause of the accident?,Accident Cause,Running a red light at a high rate of speed.,Failing to yield to a vehicle that had the right-of-way.,Making an improper and unsafe lane change without signaling.,Driving with malfunctioning or non-existent brakes.,What single action by the dashcam driver would have most definitively prevented this entire chain of events?,Accident Prevention,Obeying the red traffic signal and stopping before the intersection.,Swerving to the right shoulder instead of to the left.,Honking the horn continuously to warn the black car.,Braking aggressively but continuing in a straight line.
840,,,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with an overcast sky and a dry road.,,,,What is the traffic environment where the collision occurs?,Traffic Environment,"An intersection on a multi-lane urban arterial road, with a few pedestrians and vehicles",,,,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A signalized multi-lane, two-way intersection divided by a central green median",,,,What is the most accurate classification for this type of collision?,Accident Type,"A T-bone (or side-impact) collision, where the front of video car struck the side of another.",,,,What was the primary cause of the initial collision between the gray SUV and the white convertible?,Accident Cause,"The video car ran a red light at a high rate of speed.
",,,,What would have been the most effective measure to prevent this collision?,Accident Prevention,"The video car should obey the red traffic signal and stopping before the intersection.
",,,
843,,,,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies, bright sunlight, and a dry road surface.","Dawn, with low light and wet roads from morning dew.",Overcast day with flat lighting and signs of recent rainfall.,Late afternoon with strong sun glare affecting driver visibility.,Which of the following statements best describes the traffic environment where the collision occurs?,Traffic Environment,"A busy, multi-lane highway with a heavy mix of commercial trucks and passenger cars.",A rural two-lane road with sparse traffic and a low speed limit.,An urban arterial road with frequent intersections and traffic signals.,A highway construction zone with narrowed lanes and traffic cones.,What is the physical layout of the road segment shown in the video?,Road Configuration,"A straight, multi-lane expressway with at least three lanes for the direction of travel.",A winding road with a significant curve just before the accident site.,A highway interchange with multiple merging and exiting ramps.,"A two-lane road with a wide, paved shoulder on the right.",How can the collision event between the white truck and the silver car be most accurately classified?,Accident Type,A rear-end collision where the truck behind struck the vehicle ahead due to insufficient following distance.,A rear-end collision caused by the silver car braking suddenly.,An improper lane change by the truck leading to a sideswipe.,A head-on collision resulting from one vehicle crossing the median.,What is the most direct and evident cause of the white truck suddenly veering across the highway?,Accident Cause,The truck behind failed to maintain a safe following distance and rear-ended the vehicle ahead.,An evasive maneuver by the truck driver to avoid a slower vehicle ahead.,"The truck driver being cut off by the silver car, forcing a sharp turn.","Distracted driving, causing the truck driver to drift out of their lane.",What is the most crucial preventative measure that could have averted this specific type of mechanical-failure-induced accident?,Accident Prevention,The truck driver should have maintained a proper following distance from the vehicle ahead.,The silver car driver should have been driving in the leftmost lane.,Strict enforcement of the highway speed limit for all vehicles.,The silver car driver maintaining a greater following distance.
846,,,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A) It was daytime with clear skies and good visibility.,"B) It was nighttime, and the road was wet from recent rain.","C) It was dusk, and visibility was reduced by strong sun glare.","D) It was foggy, significantly impairing the drivers' vision.",Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,C) An urban multi-lane road at an intersection with a tram line.,A) A rural highway with high-speed traffic and no intersections.,B) A quiet residential street with parked cars lining the road.,D) A commercial parking lot with frequent pedestrian crossings.,What notable feature is part of the road's configuration at the accident scene?,Road Configuration,B) Tram tracks are integrated into the center of the roadway.,A) The intersection is controlled by a traffic roundabout.,"C) There is a dedicated, protected bicycle lane on the far left.",D) The road is a one-way street with multiple lanes.,How would you classify the type of collision shown in the video?,Accident Type,B) A sideswipe collision where the overtaking scooter struck the side of the turning car.,A) A rear-end collision where the scooter struck the back of the car.,C) A head-on collision between the car and the scooter in the same lane.,D) A single-vehicle accident where the scooter lost control due to a road hazard.,What was the primary and most direct cause of this collision?,Accident Cause,"A) The red car was traveling at excessive speed, causing the collision.",B) The scooter rider illegally attempted to overtake the car from the left within the intersection.,"C) The white car in the adjacent lane swerved, forcing the scooter to change its path.","D) The traffic lights malfunctioned, causing confusion for both drivers.",What action by the scooter rider would have been the most effective way to prevent this accident?,Accident Prevention,A) The red car driver should have obeyed the speed limit and driven at a safe speed.,"B) The rider should have slowed down, maintained a safe following distance.",C) The rider should have switched to the right side of the car to overtake.,D) The rider should have stayed directly behind the car and honked.
