video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
838,"Based on the visual information in the video, what were the prevailing weather and road conditions?",Weather & Light,Daytime with an overcast sky and a dry road.,,,,Which of the following best describes the environment where the incident occurred?,Traffic Environment,A signalized intersection on a multi-lane urban arterial road.,,,,What is the configuration of the road on which the dashcam vehicle was initially traveling?,Road Configuration,"A multi-lane, two-way road divided by a central green median.",,,,What is the final and most severe collision that the dashcam vehicle is involved in?,Accident Type,A head-on collision with a vehicle in the opposing lane.,,,,What was the critical traffic violation committed by the dashcam vehicle that served as the root cause of the accident?,Accident Cause,Running a red light at a high rate of speed.,,,,What single action by the dashcam driver would have most definitively prevented this entire chain of events?,Accident Prevention,Obeying the red traffic signal and stopping before the intersection.,,,
840,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with an overcast sky and a dry road.,,,,What is the traffic environment where the collision occurs?,Traffic Environment,"An intersection on a multi-lane urban arterial road, with a few pedestrians and vehicles",,,,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A signalized multi-lane, two-way intersection divided by a central green median",,,,What is the most accurate classification for this type of collision?,Accident Type,"A T-bone (or side-impact) collision, where the front of video car struck the side of another.",,,,What was the primary cause of the initial collision between the gray SUV and the white convertible?,Accident Cause,"The video car ran a red light at a high rate of speed.
",,,,What would have been the most effective measure to prevent this collision?,Accident Prevention,"The video car should obey the red traffic signal and stopping before the intersection.
",,,
843,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies, bright sunlight, and a dry road surface.",,,,Which of the following statements best describes the traffic environment where the collision occurs?,Traffic Environment,"A busy, multi-lane highway with a heavy mix of commercial trucks and passenger cars.",,,,What is the physical layout of the road segment shown in the video?,Road Configuration,"A straight, multi-lane expressway with at least three lanes for the direction of travel.",,,,How can the collision event between the white truck and the silver car be most accurately classified?,Accident Type,A rear-end collision where the truck behind struck the vehicle ahead due to insufficient following distance.,,,,What is the most direct and evident cause of the white truck suddenly veering across the highway?,Accident Cause,The truck behind failed to maintain a safe following distance and rear-ended the vehicle ahead.,,,,What is the most crucial preventative measure that could have averted this specific type of mechanical-failure-induced accident?,Accident Prevention,The truck driver should have maintained a proper following distance from the vehicle ahead.,,,
846,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,A) It was daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,C) An urban multi-lane road at an intersection with a tram line.,,,,What notable feature is part of the road's configuration at the accident scene?,Road Configuration,B) Tram tracks are integrated into the center of the roadway.,,,,How would you classify the type of collision shown in the video?,Accident Type,B) A sideswipe collision where the overtaking scooter struck the side of the turning car.,,,,What was the primary and most direct cause of this collision?,Accident Cause,"A) The red car was traveling at excessive speed, causing the collision.",,,,What action by the scooter rider would have been the most effective way to prevent this accident?,Accident Prevention,A) The red car driver should have obeyed the speed limit and driven at a safe speed.,,,
851,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,Clear and sunny during the daytime.,,,,What best describes the traffic environment where the incident was initiated?,Traffic Environment,A narrow residential street with cars parked on both sides.,,,,What is the configuration of the road on which the ego vehicle is traveling?,Road Configuration,"A divided road with a central green median, at an uncontrolled opening for turns.",,,,How can the accident be best classified?,Accident Type,"A head-on collision, where the two vehicles collided front to front.",,,,What caused the  incident?,Accident Cause,The ego-vehicle (dashcam car) was traveling in the oncoming lane.,,,,How could this collision most effectively have been prevented by the drivers involved?,Accident Prevention,The ego vehicle should move out of the oncoming lane as soon as possible and sound its horn as a warning.,,,
854,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,Daylight with clear skies and scattered clouds,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban arterial road with moderate to heavy traffic,,,,What is the configuration of the road where the incident takes place?,Road Configuration,A one-way road with multiple lanes in the same direction,,,,What type of accident is depicted in the video?,Accident Type,A collision resulting from an unsafe and abrupt lane change,,,,What was the primary cause of this accident?,Accident Cause,The dark car made a sudden lane change without signaling or ensuring the way was clear,,,,How could the driver of the dark sedan have most effectively prevented this collision?,Accident Prevention,"By signaling the lane change in advance, checking mirrors and blind spots, and waiting for a safe gap",,,
860,"Based on the visual information in the video, what were the prevailing weather and light conditions when the accident occurred?",Weather & Light,"D: Daytime with overcast or cloudy skies, providing sufficient ambient light and a dry road surface.",,,,Which of the following best describes the environment where the collision took place?,Traffic Environment,"A: An urban or semi-urban area with roadside buildings, trees, and a side road intersection.",,,,What is the specific road layout at the point of the incident?,Road Configuration,"C: A two-way main road with a T-junction or side road on the right, from which one vehicle emerged.",,,,How can the sequence of events in this accident be most accurately classified?,Accident Type,"B: An angle collision caused by a vehicle pulling out, immediately followed by a rollover of the other vehicle.",,,,What was the primary critical error that led to this collision?,Accident Cause,"A: The vehicle was traveling at high speed and struck a parked vehicle on the roadside, causing it to roll over.",,,,Which action would have been the most direct and effective way to prevent this accident from happening?,Accident Prevention,A: The driver should have been aware of parked vehicles on the roadside and maintained a safe speed and lateral distance.,,,
871,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies and some clouds, providing good visibility.",,,,Which of the following best describes the environment where the collision occurred?,Traffic Environment,An urban intersection surrounded by multi-story buildings and parked vehicles.,,,,What was the road configuration and the movement of the vehicles involved at the moment of the crash?,Road Configuration,A four-way intersection where the ego vehicle was proceeding straight and the dark sedan was turning left from the opposite direction.,,,,What type of collision is depicted in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego vehicle struck the side of the dark sedan.",,,,What was the primary and direct cause of this accident?,Accident Cause,The driver of the dark sedan failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,What was the most critical action the driver of the dark sedan should have taken to prevent this collision?,Accident Prevention,Wait for a safe gap in the oncoming traffic before beginning the left turn.,,,
878,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Clear, sunny daytime conditions with a dry road surface and good visibility.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban main road with moderate traffic density and pedestrian facilities.,,,,The collision takes place at an unsignalized exit or intersection. What prominent road marking is the ego-vehicle passing over just before the accident?,Road Configuration,A marked pedestrian crosswalk (zebra crossing).,,,,"Considering the angle of impact and the vehicles' final positions, what is the most accurate classification for this collision?",Accident Type,A head-on/side collision caused by a vehicle crossing the center line into the oncoming lane to overtake.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The black car crossed the center line into the oncoming lane to overtake, colliding with the ego vehicle.",,,,Which action by the taxi driver would have been the most effective measure to prevent this collision?,Accident Prevention,"The black car driver should not have crossed the center line to overtake, and should have waited for a safe overtaking opportunity.",,,
879,"Based on the video, what are the weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with rain, resulting in wet road surfaces.",,,,What type of traffic environment is depicted in the video where the collision occurs?,Traffic Environment,A multi-lane urban main road with an intersection.,,,,Which of the following best describes the road configuration at the scene of the accident?,Road Configuration,"A two-way, multi-lane road at an intersection.",,,,What type of collision occurs between the two vehicles at the intersection?,Accident Type,A side-impact (T-bone) collision.,,,,What was the primary cause of this accident?,Accident Cause,The black car making a turn failed to yield the right-of-way to the oncoming straight-going vehicle.,,,,How could the driver of the silver vehicle have most effectively prevented this accident?,Accident Prevention,The black car driver should have waited for the oncoming straight-going vehicle to pass before making the turn.,,,
891,"Based on the video, what were the prevailing weather and light conditions at the time of the accident?",Weather & Light,The incident occurred during the daytime under cloudy/overcast skies with good visibility and a wet road surface.,,,,Which of the following best describes the environment where the collision occurred?,Traffic Environment,"In an urban or suburban setting, at a marked pedestrian crosswalk located near a bus stop.",,,,What is the configuration of the road at the accident site?,Road Configuration,"A two-way road with a single lane for each direction, featuring a marked pedestrian crosswalk.",,,,How would you classify the type of accident shown in the video?,Accident Type,A vehicle-pedestrian collision on a marked crosswalk.,,,,What was the primary cause of this severe accident?,Accident Cause,"The driver failed to yield to the pedestrian, but the pedestrian also bears secondary responsibility for not using the designated crosswalk.",,,,Which action by the driver would have been the most effective measure to prevent this collision?,Accident Prevention,Reducing speed significantly upon approaching the crosswalk and being prepared to stop for any pedestrians.,,,
901,"Based on the video, what are the environmental conditions during the accident?",Weather & Light,Bright daylight with clear sunny skies and strong direct sunlight. The road surface is in full sun with clear shadows; tree shadows are not intermittent but consistent along the tree-lined boulevard.,,,,What is the traffic environment where the collision occurs?,Traffic Environment,"A tree-lined urban boulevard with 2 lanes per direction, moderate traffic with many vehicles parking on the shoulder",,,,What is the configuration of the intersection where the accident occurs?,Road Configuration,An opening in the central median allowing for U-turns or left turns.,,,,What is the most accurate classification for this type of collision?,Accident Type,A T-bone (or angle) collision where the front of the motorcycle impacted the side of the turning car.,,,,What is the most direct and evident cause of the accident?,Accident Cause,The white SUV failed to yield the right-of-way to the straight-traveling motorcycle while making a turn.,,,,How could the driver involved have most effectively prevented this accident?,Accident Prevention,The white SUV should wait for the approaching motorcycle to pass completely before initiating the turn.,,,
913,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with partly cloudy to overcast skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway (expressway/motorway) with relatively light-to-moderate traffic, featuring a concrete central median barrier.",,,,What is the physical configuration of the road where the incident takes place?,Road Configuration,"A. A straight, multi-lane highway with a central concrete median.",,,,What type of accident did the white Toyota Camry experience?,Accident Type,A. A rear-end collision where the ego vehicle struck the vehicle ahead due to insufficient following distance.,,,,What was the primary initiating event that led to the white Camry's loss of control?,Accident Cause,"A. The front vehicle braked suddenly, and the ego vehicle failed to maintain a safe following distance, causing a rear-end collision.",,,,Which action by one of the drivers would have been the most effective in preventing this accident from happening at all?,Accident Prevention,A. Maintaining a safe following distance from the vehicle ahead at all times to allow adequate braking room.,,,
914,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Clear daylight with sunny skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,Heavy traffic on an urban multi-lane road with slow-moving vehicles.,,,,What is the specific configuration of the road section where the collision takes place?,Road Configuration,A wide right-hand curve or merging area.,,,,How can the type of accident shown in the video be classified?,Accident Type,A sideswipe/crushing collision where the rear body of the large dump truck's trailer/bed struck and crushed the side of the white SUV during the truck's right turn.,,,,What is the primary contributing factor leading to this collision?,Accident Cause,"The truck's 'inner wheel difference' during a right turn, combined with the SUV being in the truck's large blind spot.",,,,"From the perspective of the SUV driver, what would have been the most effective action to prevent this accident?",Accident Prevention,Maintaining a safe following distance behind the truck instead of driving alongside it in its blind spot during a turn.,,,
918,"Based on the visual information in the video, what are the prevailing weather and lighting conditions at the moment of the crash?",Weather & Light,It is dusk or early evening with overcast skies; ambient light is low with artificial street lighting active. The road surface appears dry.,,,,Which of the following best describes the environment where the accident takes place?,Traffic Environment,"A busy, multi-lane urban intersection equipped with traffic signals and streetlights.",,,,What is the specific configuration of the roadway at the location of the collision?,Road Configuration,A signalized intersection where multiple lanes of traffic cross.,,,,How can the collision between the police car and the silver sedan be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle strikes the side of the other.",,,,What was the primary human error that led to this collision?,Accident Cause,"The black car ran a red light at the intersection, colliding with the cross traffic.",,,,What critical action should the driver of the silver sedan have taken to prevent this accident?,Accident Prevention,The black car driver should have obeyed the red traffic light and stopped at the intersection.,,,
919,"Based on the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,Daytime with overcast/cloudy skies and a dry road surface. The scene appears suburban/semi-urban rather than purely urban.,,,,What best describes the traffic environment where the collision occurred?,Traffic Environment,"On a multi-lane semi-urban or suburban highway adjacent to a gas station and commercial area. The environment shows sparse urban development, open green median, and a highway-style road rather than a dense urban arterial.",,,,Which statement accurately describes the road configuration at the scene of the accident?,Road Configuration,"Multi-lane roadway (highway-style) with a deceleration/service road on the right for gas station/commercial access, separated from the main carriageway by a green median. The yellow truck came from this service lane or crossed from the right.",,,,What type of collision occurred between the ego-vehicle and the yellow truck?,Accident Type,An angle collision (T-bone) as the truck cut across the ego-vehicle's path.,,,,What was the primary and direct cause of this accident?,Accident Cause,"The yellow truck executed a sudden, improper multi-lane change to enter a gas station without yielding the right-of-way.",,,,What action by the yellow truck's driver would have most effectively prevented this collision?,Accident Prevention,"Planning the exit in advance, signaling early, and changing lanes sequentially only when clear, or missing the turn and finding a safe alternative.",,,
925,"Based on the video, which weather or light condition was the most significant contributing factor to this incident?",Weather & Light,"Bright, low-angle sun with severe lens flare/glare visible from the direction the turning vehicle approached. Conditions are sunny with clear sky.",,,,What is the specific traffic environment where the collision took place?,Traffic Environment,An urban intersection with traffic lights and a marked pedestrian crosswalk.,,,,How can the road layout and the car's maneuver at the moment of the incident be described?,Road Configuration,The car was making a left turn at a signalized intersection.,,,,What is the most accurate classification for this type of traffic accident?,Accident Type,A vehicle-to-vehicle collision at an uncontrolled intersection where one vehicle failed to slow down.,,,,What is the most likely primary cause of this accident?,Accident Cause,"The vehicle failed to slow down and observe before entering the uncontrolled intersection, causing a vehicle-to-vehicle collision.",,,,What key action by the car's driver could have most effectively prevented this accident?,Accident Prevention,Slowing down and checking for cross traffic before entering the uncontrolled intersection.,,,
926,"Based on the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with partly cloudy skies (cumulus clouds visible) and a dry road surface. Conditions are bright but not uniformly clear/sunny.,,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,A multi-lane divided highway intersection in a flat rural/semi-rural setting with open flat fields and green space on both sides. The setting is more rural than suburban.,,,,What is the physical configuration of the roadway at the scene of the accident?,Road Configuration,"A signalized intersection on a straight, multi-lane divided highway.",,,,How can the type of collision depicted in the video be most accurately classified?,Accident Type,"A T-bone (side-impact) collision, where the front of the truck hit the side of the pickup.",,,,What was the primary and most direct cause of this severe collision?,Accident Cause,"The ego vehicle (dashcam vehicle) ran a red light at high speed, causing the collision.",,,,Which action by the pickup truck driver would have been the most effective measure to prevent this accident?,Accident Prevention,The ego vehicle driver should have obeyed the red traffic light and stopped at the intersection.,,,
927,"Based on the visual evidence, what were the environmental conditions at the time of the accident?",Weather & Light,During daytime with overcast/hazy skies and a dry road surface. Light is sufficient but diffuse.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban arterial road with multiple lanes, a median, and a designated intersection point for turning.",,,,What specific features characterize the road layout at the location of the crash?,Road Configuration,"multi-lane, two-way road divided by a median, with overhead trolleybus/tram wires and a pedestrian crosswalk sign. The overhead wires are for trolleybuses (not trams), consistent with the urban Moscow-area setting.",,,,How can the collision between the motorcycle and the SUV be classified?,Accident Type,side-impact collision where the SUV making a left turn was struck by a motorcycle traveling straight. The motorcycle impacted the side of the SUV.,,,,What was the primary human error that led to this accident?,Accident Cause,"The SUV failed to yield to the motorcycle while making a left turn, and the motorcycle was also traveling at excessive speed, contributing to the severity of the collision.",,,,Which action by the SUV driver would have been the most effective measure to prevent this collision?,Accident Prevention,Waiting for the oncoming motorcycle to pass completely before initiating the left turn.,,,
946,What were the weather and lighting conditions at the time of the accident?,Weather & Light,Daytime with clear/slightly hazy sky and a dry road surface. The sun is visible and conditions are bright.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with residential buildings and trees nearby.,,,,What is the configuration of the road where the accident happened?,Road Configuration,A multi-way urban intersection.,,,,"Based on the video, what type of collision occurred between the blue sedan and the white SUV?",Accident Type,A collision caused by the front vehicle illegally reversing on a normal road.,,,,What was the primary cause of this accident?,Accident Cause,"The front vehicle illegally reversed on a normal road, causing the following vehicle to collide with it.",,,,What crucial action could have most effectively prevented this collision?,Accident Prevention,"The front vehicle driver should not have reversed on a normal road, and instead found a safe and legal place to turn around.",,,
947,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime during active heavy rainfall with overcast skies and very wet road surfaces. Rain is actively falling (visible on windshield and road), not merely residual wetness.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,B) An urban multi-lane road approaching a signalized intersection.,,,,How can the road configuration at the accident site be characterized?,Road Configuration,"A multi-lane, two-way road (2 lanes each direction or more) with a dashed center line visible in some frames and approaching a signalized intersection. The road separation markings in the pre-crash frames appear to include dashed lines, not exclusively double solid lines.",,,,What type of collision occurred between the white car (participant A) and the beige car (participant B)?,Accident Type,B) A rear-end and chain collision caused by the oncoming white car speeding.,,,,What was the primary and direct cause of this accident?,Accident Cause,"B) The oncoming white car was traveling at excessive speed, causing a rear-end collision that led to a chain/multi-vehicle pileup.",,,,Which action by one of the drivers could have most directly prevented this collision?,Accident Prevention,B) The oncoming white car should have maintained a safe speed and following distance.,,,
953,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daytime conditions (spring/early spring based on bare trees) with a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban residential area with multi-story Soviet-era apartment blocks (panel buildings) and a major roadway. The setting is specifically a residential urban district, not a commercial/downtown area.",,,,What is the road configuration at the location of the collision?,Road Configuration,"A multi-lane, two-way road where the collision occurs at an intersection.",,,,How would you classify the type of collision that occurred in the video?,Accident Type,A side-impact (T-bone) collision.,,,,What was the primary cause of this accident?,Accident Cause,The white car failed to yield the right-of-way while making a left turn across a lane of traffic.,,,,Which action by one of the drivers would have been most effective in preventing this collision?,Accident Prevention,"The driver of the white car should have checked their mirrors and blind spot, and yielded to the ego-vehicle before turning.",,,
961,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daytime conditions with a dry road surface.,,,,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A high-speed multi-lane urban expressway or ring road, with visible commercial/industrial structures on the sides. Pedestrian crossing is prohibited but the road is within or at the edge of an urban area (not a rural highway).",,,,What is the configuration of the road in the direction of traffic shown in the video?,Road Configuration,"Multi-lane roadway with at least three lanes in the same direction, separated from opposing traffic by a raised concrete median/barrier. Frame 05 and 09 suggest at least 3-4 lanes visible in the direction of travel.",,,,What type of collision ultimately occurred in the video?,Accident Type,vehicle-to-pedestrian collision where a pedestrian illegally crossing the expressway was struck by the dark military-style truck (appears to be a heavy military or civilian truck/lorry).,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The truck driver was traveling too fast with insufficient following distance, and bears responsibility for the collision.",,,,Which of the following represents the most fundamental and effective measure to prevent this specific type of accident from happening?,Accident Prevention,"The truck driver should have maintained a safe following distance and reduced speed, allowing adequate reaction time.",,,
967,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime in early spring with overcast/cloudy skies and a dry road surface. Bare trees are visible suggesting late winter/early spring.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A unsafe lane urban main road with light-to-moderate traffic including other cars, a trolleybus (visible in frame 05), and possibly a bus.",,,,What is the configuration of the road on which the accident takes place?,Road Configuration,"A straight, unsafe lane road with at least three lanes for the direction of travel.",,,,How would you classify the type of collision shown in the video?,Accident Type,"A sideswipe collision caused by the beige/silver SUV (Mitsubishi Pajero-type) making an abrupt multi-lane change to the right, sideswiping the dashcam vehicle.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The beige SUV driver executed an unsafe and abrupt lane change into the adjacent lane without checking for other vehicles.,,,,Which action by the at-fault driver would have most effectively prevented this accident?,Accident Prevention,"Changing lanes sequentially, one at a time, and only after ensuring each lane was clear.",,,
968,"Based on the video, what are the environmental conditions during the accident?",Weather & Light,Daytime with overcast/flat-light conditions and a dry road surface. Visibility is good.,,,,Which of the following best describes the environment where the collision occurred?,Traffic Environment,"A suburban arterial road (multi-lane, tree-lined, with sparse structures visible including a small commercial building) with light-to-moderate traffic.",,,,How would you describe the specific road section where the collision happened?,Road Configuration,"A main road downhill in the suburbs, with an intersection side roads on both sides, where the lane centerline transformed form solid line to a dashed line.",,,,What type of accident occurs?in the video?,Accident Type,A rear-end collision between the sliver car and the black car behind it.,,,,What caused the  incident?,Accident Cause,"The white car braked suddenly at the bottom of the slope, waiting to turn.",,,,What action would have most effectively prevented this collision?,Accident Prevention,The white car should continuously drive forward to find a legal and safe location to make a U-turn or left turn.,,,
969,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with good visibility and dry road conditions.,,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,An urban multi-lane road lined with trees.,,,,"What is the configuration of the road where the incident occurs, specifically concerning the separation of opposing traffic?",Road Configuration,A two-way road with opposing traffic lanes separated by a double solid line.,,,,How can the type of collision shown in the video be best classified?,Accident Type,"A rear-end collision, where the front of one vehicle struck the back of POV car.",,,,What was the critical error that led to this collision?,Accident Cause,The light-colored car was speeding excessively.,,,,Which action by one of the drivers could have most effectively prevented this collision?,Accident Prevention,"The driver of the light-colored vehicle should have slowed down, following the traffic rules strictly",,,
978,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Dusk/evening with overcast skies and wet road surfaces. Street lights are on (green traffic signals and streetlights visible). Rain appears to have recently fallen ¡ª road is wet with reflections.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A multilane intersection, probably in the old city area.",,,,What specific and notable feature is part of the road's configuration at the intersection?,Road Configuration,The road incorporates tram tracks running along or embedded in the road surface (visible in the center of the road). The tracks appear to run along the center-left of the carriageway rather than strictly along the central median.,,,,What is the direct type of collision that occurs at the end of the video?,Accident Type,A side-impact (or T-bone) collision at an intersection.,,,,What was the primary and direct cause of this accident?,Accident Cause,The driver of the dark sedan failed to yield the right-of-way to oncoming traffic while making a left turn.",,,,What critical action should the driver of the turning dark sedan have taken to prevent this crash?,Accident Prevention,The ego car should waited for a safe gap in the oncoming traffic before initiating the left turn.,,,
979,What are the weather and road surface conditions at the time of the incident?,Weather & Light,Clear and sunny daytime with blue sky and strong direct sunlight. Conditions are bright.,,,,Which of the following best describes the environment where the accident occurs?,Traffic Environment,"An urban multi-lane main road with moderate traffic, approaching a signalized intersection. The environment shows mixed commercial and residential buildings with a church/cathedral visible.",,,,What is the configuration of the road on which the vehicles are traveling?,Road Configuration,A signalized multi-lane road with bulrred marking lines.,,,,What type of accident is about to occur in the video?,Accident Type,A rear-end collision between the white taxi and the bus behind it.,,,,What is the most direct and primary cause of this collision?,Accident Cause,The bus behind failed to stop on time.,,,,How could the participants in this incident have most effectively prevented this collision?,Accident Prevention,The bus driver should decelerate before the intersection.,,,
982,"Based on the visual evidence in the video, what were the prevailing weather and road conditions at the time of the incident?",Weather & Light,Rainy day with wet road surfaces.,,,,Which of the following best describes the environment where the collision occurred?,Traffic Environment,A multi-lane main road in a suburban area¡£,,,,What is the layout of the road at the location of the collision?,Road Configuration,A low-lying signalized interscetion with no cross walking,,,,What type of collision is depicted in the video?,Accident Type,A T-bone (side-impact) collision involving a turning vehicle and a straight-through vehicle.,,,,What was the primary human error that led to this collision?,Accident Cause,The red car's driver failed to yield the right-of-way to oncoming traffic before making a left turn.,,,,Which critical action would have most effectively prevented this accident?,Accident Prevention,The red car should wait for the oncoming straight-through traffic to pass before initiating the turn.,,,
986,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and dry road conditions.,,,,What is the traffic environment where the collision occurs?,Traffic Environment,"A rural intersection is uncontrolled by signals, with one road having priority over the other. ",,,,Which statement best describes the road layout?,Road Configuration,The curve main road was merged in the front left side.,,,,What was the primary and most direct cause of this accident?,Accident Type,"A side-impact (T-bone) collision, where the front of the self car strikes the side of the car.",,,,What are the primary contributing factors that led to this collision?,Accident Cause,The silver car's driver failed to yield the right-of-way before entering the intersection.,,,,What could have been the most effective measure to avoid this specific collision?,Accident Prevention,The silver car should come to a stop and waiting until the truck had safely passed before proceeding.,,,
988,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the day under overcast skies with dry road conditions.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A suburban arterial road with low buildings and billboards visible alongside the road, limited traffic.",,,,What is the configuration of the road and intersection where the accident takes place?,Road Configuration,A signalized intersection on a multi-lane main road with clear lane markings.,,,,How can the collision seen in the video be most accurately classified?,Accident Type,"A T-bone collision, where the front of the ego vehicle impacts the side of the other car",,,,What is the most direct and primary cause of this collision?,Accident Cause,The driver of the silver hatchback failed to obey a traffic signal and did not yield the right-of-way to oncoming traffic.,,,,What is the most critical action that could have prevented this collision?,Accident Prevention,The driver of the silver hatchback should have stopped for the red light and waited for a safe opportunity to turn.,,,
992,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime, overcast with rain , resulting in wet roads.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An suburban area with heavy traffic on a multi-lane road.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A main road with the marking line obscured,merged by a side road in the right, an unsignalized intersection.",,,,What type of collision occurs in the video?,Accident Type,An angle/sideswipe collision caused by a vehicle improperly merging into a travel lane from the roadside.,,,,What was the primary cause of this accident?,Accident Cause,The white car failed to yield the right-of-way and made an unsafe merge from the roadside into an active lane of traffic.,,,,How could this collision have most effectively been prevented?,Accident Prevention,"The white car should check mirrors and blind spots thoroughly, and wait for a safe gap in traffic before merging into the lane.",,,
1001,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"The incident occurs at dusk/evening under clear skies, with illumination provided by streetlights and vehicle headlights.",,,,Which of the following best describes the environment in which the accident takes place?,Traffic Environment,"A multi-lane urban arterial road, surrounded by commercial establishments and high-rise residential buildings.",,,,What is the configuration of the road where the collision happens?,Road Configuration,"A straight, multi-lane road in an intersection area with at least three lanes for traffic in the same direction, marked by dashed white lines.",,,,How can the collision between the two motorcycles?,Accident Type,A rear-end collision.,,,,What was the primary factor that led to this collision?,Accident Cause,The former motorcyclist brake down following the front vehicles.,,,,What crucial action should have taken to prevent this collision?,Accident Prevention,The later motorcyclist should maintain a safe gap to its front vehicle.,,,
1016,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,Daylight with clear skies and a dry road surface.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A suburban arterial road with low buildings alongside, limited traffic.",,,,What is the configuration of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road with at least two lanes in the direction of travel.",,,,What type of collision occurred,Accident Type,A rear-end collision where the SUV hit the back of the silver sedan.,,,,What was the primary trigger for the chain of events leading to the collision?,Accident Cause,A two-wheeler rider abruptly cut across the traffic lanes from the right side.,,,,Which action would have been the most effective in preventing this accident from happening in the first place?,Accident Prevention,The two-wheeler rider should have yielded and ensured the lane was clear before crossing.,,,
